complexity,sql,question
Simple,"SELECT ra, dec FROM gaiadr3.gaia_source LIMIT 10;",Retrieve the right ascension and declination of 10 stars from the Gaia database.
Simple,"SELECT parallax, phot_g_mean_mag FROM gaiadr3.gaia_source LIMIT 5;",Fetch the parallax and G-band magnitude for 5 stars from the Gaia dataset.
Simple,"SELECT pmra, pmdec FROM gaiadr3.gaia_source LIMIT 20;",Retrieve the proper motions in right ascension and declination for 20 stars from Gaia.
Simple,"SELECT ra, dec, parallax FROM gaiadr3.gaia_source WHERE parallax > 0.1 LIMIT 15;","Get the right ascension, declination, and parallax of 15 stars with a parallax greater than 0.1 milliarcseconds from Gaia."
Simple,SELECT phot_g_mean_mag FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 10.0 LIMIT 25;,Retrieve the G-band magnitude of 25 stars with a magnitude less than 10.0 from the Gaia catalog.
Simple,"SELECT ra, dec FROM gaiadr3.gaia_source LIMIT 10;",Retrieve the right ascension and declination coordinates of 10 stars from the Gaia database.
Simple,"SELECT parallax, phot_g_mean_mag FROM gaiadr3.gaia_source LIMIT 5;",Fetch the parallax and G-band magnitude of 5 stars from the Gaia dataset.
Simple,"SELECT pmra, pmdec FROM gaiadr3.gaia_source LIMIT 20;",Retrieve the proper motions in right ascension and declination for 20 stars from the Gaia catalog.
Simple,"SELECT ra, dec, parallax FROM gaiadr3.gaia_source WHERE parallax > 0.1 LIMIT 15;","Get the right ascension, declination, and parallax of 15 stars with a parallax value greater than 0.1 milliarcseconds from the Gaia dataset."
Simple,SELECT phot_g_mean_mag FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 10.0 LIMIT 25;,Retrieve the G-band magnitude of 25 stars with a magnitude value less than 10.0 from the Gaia catalog.
Medium,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE parallax > 1.0,How many sources in Gaia DR3 have a parallax measurement greater than 1.0 milliarcseconds?
Medium,"SELECT ra, dec, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE phot_g_mean_mag BETWEEN 10 AND 15 ORDER BY phot_g_mean_mag ASC LIMIT 10","List the right ascension, declination, and G magnitude of the first 10 sources in Gaia DR3 with G magnitude between 10 and 15, sorted in ascending order by G magnitude."
Medium,"SELECT AVG(parallax), AVG(phot_g_mean_mag) FROM gaiadr3.gaia_source WHERE pmra BETWEEN -10 AND 10 AND pmdec BETWEEN -10 AND 10","Calculate the average parallax and G magnitude for sources in Gaia DR3 with proper motions (pmra, pmdec) between -10 and 10 milliarcseconds/year."
Medium,SELECT COUNT(DISTINCT ra) FROM gaiadr3.gaia_source WHERE dec BETWEEN 0 AND 15,How many unique right ascensions are recorded for sources in Gaia DR3 with declination between 0 and 15 degrees?
Medium,"SELECT ra, dec, sqrt(pow(pmra, 2) + pow(pmdec, 2)) AS proper_motion FROM gaiadr3.gaia_source WHERE proper_motion > 10 ORDER BY proper_motion DESC LIMIT 5","List the right ascension, declination, and calculated proper motion (in milliarcseconds/year) for the top 5 sources in Gaia DR3 with a proper motion greater than 10 milliarcseconds/year, sorted in descending order by proper motion."
Medium,[query],[natural language question]
Medium,[查询],[自然语言问题]
Medium,[query],[natural language question]
Medium,"[SELECT ra, dec, AVG(parallax) AS avg_parallax, phot_g_mean_mag FROM gaiadr3.gaia_source GROUP BY ra, dec HAVING COUNT(*) > 1000]",What is the average parallax and G magnitude for each group of more than 1000 sources with the same right ascension and declination?
Medium,"[SELECT ra, dec, COUNT(DISTINCT phot_g_mean_mag) AS mag_variability FROM gaiadr3.gaia_source GROUP BY ra, dec HAVING COUNT(DISTINCT phot_g_mean_mag) > 5]","How many different G magnitudes are measured for each group of sources with the same right ascension and declination, and how many such groups have more than 5 different G magnitudes?"
Medium,"[SELECT ra, dec, COUNT(*) AS source_count, AVG(pmra) AS avg_pmra, AVG(pmdec) AS avg_pmdec FROM gaiadr3.gaia_source GROUP BY ra, dec HAVING AVG(pmra) > 10 AND AVG(pmdec) > 10]","For regions with an average proper motion (pmra, pmdec) greater than 10 milliarcseconds/year, how many sources are there, and what are the average proper motions in these regions?"
Medium,"[SELECT ra, dec, COUNT(*) AS source_count, AVG(parallax) AS avg_parallax FROM gaiadr3.gaia_source WHERE phot_g_mean_mag BETWEEN 15 AND 20 GROUP BY ra, dec HAVING AVG(parallax) > 0.1]","In regions where the G magnitude is between 15 and 20, how many sources are there, and what is the average parallax for these sources?"
Complex,"SELECT ra, dec, g, r, i, z FROM photoObj WHERE u > 20 AND (r - i) > 0.5 AND (r - i) < 1.5",Which stars in the SDSS database have a u-band magnitude greater than 20 and a color between 0.5 and 1.5 in the r-i color index?
Complex,SELECT COUNT(*) FROM photoObj WHERE ra BETWEEN 180 AND 240 AND dec BETWEEN -5 AND 5 AND (petrErr < 0.1),How many stars in the SDSS database have a right ascension between 180 and 240 degrees and declination between -5 and 5 degrees with a petrErr (photometric error) less than 0.1?
Complex,"SELECT ra, dec, g, r, i, z, (r - i) AS color FROM photoObj WHERE (r - i) BETWEEN 0 AND 1 AND (r - g) > -0.5 AND (r - g) < 0.5",Which stars in the SDSS database have a color between 0 and 1 in the r-i color index and a color between -0.5 and 0.5 in the r-g color index?
Simple,"SELECT ra, dec FROM gaiadr3.gaia_source WHERE ra BETWEEN 0 AND 1",What are the declinations of stars with right ascensions between 0 and 1?
Simple,"SELECT parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 15",What is the parallax and G magnitude of stars with a G magnitude less than 15?
Simple,SELECT COUNT(DISTINCT ra) FROM gaiadr3.gaia_source,How many distinct right ascensions are recorded in the Gaia database?
Simple,"SELECT pmra, pmdec FROM gaiadr3.gaia_source WHERE pmra > 100",What are the proper motions in right ascension and declination for stars with a proper motion in right ascension greater than 100 mas/yr?
Simple,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE dec BETWEEN -10 AND 10,How many stars are recorded in the Gaia database with declinations between -10 and 10 degrees?
Medium,"1.  SELECT ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE parallax > 0.2 AND phot_g_mean_mag < 10.0",Which stars have a parallax greater than 0.2 milliarcseconds and a G magnitude less than 10.0?
Medium,"2.  SELECT ra, dec, pmra, pmdec FROM gaiadr3.gaia_source WHERE (pmra**2 + pmdec**2) > 300.0 AND ra BETWEEN 30.0 AND 60.0","Find stars in the RA range of 30.0 to 60.0 degrees with proper motions (pmra and pmdec) having a squared sum greater than 300, indicating significant motion."
Medium,"3.  SELECT ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE (dec BETWEEN -20.0 AND 20.0) AND (parallax / phot_g_mean_mag) < 0.01","Identify stars in the declination range of -20.0 to 20.0 degrees where the ratio of parallax to G magnitude is less than 0.01, suggesting they are likely to be at a greater distance."
Medium,"4.  SELECT ra, dec, parallax, phot_g_mean_mag, COUNT(*) AS star_count FROM gaiadr3.gaia_source WHERE (parallax > 0.1) AND (phot_g_mean_mag BETWEEN 5.0 AND 15.0) GROUP BY ra, dec, parallax, phot_g_mean_mag ORDER BY star_count DESC LIMIT 10","Find the regions with the highest concentration of stars that have a parallax greater than 0.1 milliarcseconds and G magnitude between 5.0 and 15.0, and return the top 10 regions with the most stars."
Medium,"5.  SELECT ra, dec, pmra, pmdec FROM gaiadr3.gaia_source WHERE (pmra > 100.0 AND pmdec < -50.0) OR (ra > 270.0 AND dec > -30.0)","Find stars with proper motion in the RA direction greater than 100 mas/yr and in the DEC direction less than -50 mas/yr, or stars located in the region with RA greater than 270 degrees and DEC greater than -30 degrees."
Complex,SELECT COUNT(*) AS star_count FROM gaiadr3.gaia_source WHERE parallax > 10,How many stars have a parallax measurement greater than 10 milliarcseconds?
Complex,SELECT AVG(phot_g_mean_mag) AS average_g_magnitude FROM gaiadr3.gaia_source WHERE ra BETWEEN 0 AND 180 AND dec BETWEEN -90 AND 90,"What is the average G-band magnitude of stars located in the celestial equator region (RA between 0 and 180 degrees, DEC between -90 and 90 degrees)?"
Complex,"SELECT ra, dec, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE pmra > 100 AND pmdec > 100 ORDER BY phot_g_mean_mag ASC LIMIT 10","List the RA, DEC, and G-band magnitude of the 10 stars with the highest proper motion rates (both RA and DEC components greater than 100 mas/yr) sorted by their G-band magnitude in ascending order."
Complex,SELECT COUNT(DISTINCT phot_g_mean_mag) AS unique_magnitudes FROM gaiadr3.gaia_source WHERE parallax BETWEEN 5 AND 15 AND pmra BETWEEN -100 AND 100 AND pmdec BETWEEN -100 AND 100,How many unique G-band magnitudes are there for stars with a parallax between 5 and 15 milliarcseconds and proper motion rates between -100 and 100 milliarcseconds per year in both RA and DEC?
Complex,"SELECT AVG(parallax) AS average_parallax, AVG(phot_g_mean_mag) AS average_g_magnitude FROM gaiadr3.gaia_source WHERE ra BETWEEN 270 AND 360 AND dec BETWEEN 0 AND 90","Calculate the average parallax and G-band magnitude for stars in the Southern Celestial Hemisphere (RA between 270 and 360 degrees, DEC between 0 and 90 degrees)."
Complex,"SELECT AVG(parallax) AS average_parallax, AVG(phot_g_mean_mag) AS average_g_magnitude FROM gaiadr3.gaia_source WHERE ra BETWEEN 270 AND 360 AND dec BETWEEN 0 AND 90 AND phot_g_mean_mag < 10 OR phot_g_mean_mag > 15","Calculate the average parallax and G-band magnitude for stars in the Southern Celestial Hemisphere (RA between 270 and 360 degrees, DEC between 0 and 90 degrees), excluding stars with a G magnitude between 10 and 15."
Complex,1.  SELECT COUNT(*) AS star_count FROM gaiadr3.gaia_source WHERE parallax > 10,How many stars have a parallax measurement greater than 10 milliarcseconds?
Complex,2.  SELECT AVG(phot_g_mean_mag) AS average_g_magnitude FROM gaiadr3.gaia_source WHERE ra BETWEEN 0 AND 180 AND dec BETWEEN -90 AND 90,"What is the average G-band magnitude of stars located in the celestial equator region (RA between 0 and 180 degrees, DEC between -90 and 90 degrees)?"
Complex,"3.  SELECT ra, dec, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE pmra > 100 AND pmdec > 100 ORDER BY phot_g_mean_mag ASC LIMIT 10","List the RA, DEC, and G-band magnitude of the 10 stars with the highest proper motion rates (both RA and DEC components greater than 100 mas/yr) sorted by their G-band magnitude in ascending order."
Complex,4.  SELECT COUNT(DISTINCT phot_g_mean_mag) AS unique_magnitudes FROM gaiadr3.gaia_source WHERE parallax BETWEEN 5 AND 15 AND pmra BETWEEN -100 AND 100 AND pmdec BETWEEN -100 AND 100,How many unique G-band magnitudes are there for stars with a parallax between 5 and 15 milliarcseconds and proper motion rates between
Simple,"1.  SELECT ra, dec FROM gaiadr3.gaia_source WHERE distance BETWEEN 10 AND 20",What are the right ascension and declination for stars within a distance of 10 to 20 parsecs from the Sun?
Simple,2.  SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE distance > 1000,How many stars are located more than 1000 parsecs away from the Sun?
Simple,"3.  SELECT parallax, distance FROM gaiadr3.gaia_source WHERE distance < 5",What is the parallax and distance for stars within a distance of less than 5 parsecs from the Sun?
Simple,"4.  SELECT ra, dec FROM gaiadr3.gaia_source WHERE distance BETWEEN 50 AND 100",What are the right ascension and declination for stars within a distance of 50 to 100 parsecs from the Sun?
Simple,5.  SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE distance > 500 AND distance < 1000,How many stars are located between 500 and 1000 parsecs away from the Sun?
Simple,"1.  SELECT ra, dec FROM gaiadr3.gaia_source WHERE distance BETWEEN 10 AND 20",What are the right ascension and declination for stars within a distance of 10 to 20 parsecs from the Sun?
Simple,2.  SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE distance > 1000,How many stars are located more than 1000 parsecs away from the Sun?
Simple,"3.  SELECT parallax, distance FROM gaiadr3.gaia_source WHERE distance < 5",What is the parallax and distance for stars within a distance of less than 5 parsecs from the Sun?
Simple,"4.  SELECT ra, dec FROM gaiadr3.gaia_source WHERE distance BETWEEN 50 AND 100",What are the right ascension and declination for stars within a distance of 50 to 100 parsecs from the Sun?
Simple,5.  SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE distance > 500 AND distance < 1000,How many stars are located between 500 and 1000 parsecs away from the Sun?
Medium,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE parallax > 0.2 AND phot_g_mean_mag < 15.0,How many stars in the Gaia DR3 have a parallax greater than 0.2 milliarcseconds and a G magnitude less than 15.0?
Medium,"SELECT AVG(parallax), AVG(phot_g_mean_mag) FROM gaiadr3.gaia_source WHERE ra BETWEEN 35 AND 45 AND dec BETWEEN -20 AND -10",What is the average parallax and G magnitude of stars in the Gaia DR3 within the right ascension range of 35 to 45 and declination range of -20 to -10?
Medium,SELECT COUNT(DISTINCT source_id) FROM gaiadr3.gaia_source WHERE pmra > 100 AND pmdec > 100,How many unique stars in the Gaia DR3 have proper motions greater than 100 mas/yr in both right ascension and declination?
Medium,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE ra > 180 AND pmra < 0 AND pmdec < 0,How many stars in the Gaia DR3 have a right ascension greater than 180 degrees and are moving towards the east and north?
Medium,"SELECT AVG(parallax), AVG(phot_g_mean_mag) FROM gaiadr3.gaia_source WHERE phot_g_mean_mag BETWEEN 15.0 AND 20.0 AND pmra BETWEEN -100 AND 100",What is the average parallax and G magnitude of stars in the Gaia DR3 with G magnitude between 15.0 and 20.0 and proper motion in right ascension between -100 and 100 mas/yr?
Medium,"SELECT AVG(parallax), AVG(phot_g_mean_mag) FROM gaiadr3.gaia_source WHERE parallax > 0.1 AND pmra BETWEEN -10 AND 10 AND pmdec BETWEEN -10 AND 10 GROUP BY phot_g_mean_mag ORDER BY phot_g_mean_mag DESC","What is the average parallax and G magnitude of stars in the Gaia DR3 with a parallax greater than 0.1 and proper motions in right ascension and declination between -10 and 10 mas/yr, ordered by G magnitude in descending order?"
Medium,"SELECT source_id, parallax, phot_g_mean_mag, pmra, pmdec FROM gaiadr3.gaia_source ORDER BY parallax DESC LIMIT 10","Which are the top 10 stars in the Gaia DR3 with the highest parallax values, and what are their G magnitude and proper motions?"
Complex,"SELECT COUNT(*) AS star_count, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE parallax > 0.1 AND pmra BETWEEN -10 AND 10 AND pmdec BETWEEN -10 AND 10",How many stars have a parallax greater than 0.1 milliarcseconds and proper motions within ±10 milliarcseconds/yr in the ra-dec plane?
Complex,"SELECT ra, dec, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE ra BETWEEN 30 AND 60 AND dec BETWEEN -30 AND -20 AND parallax > 0.05 ORDER BY phot_g_mean_mag ASC LIMIT 10",Identify the 10 faintest stars in the region between 30 and 60 degrees in RA and between -30 and -20 degrees in Dec with a parallax greater than 0.05 milliarcseconds.
Complex,"SELECT AVG(parallax) AS avg_parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE ra BETWEEN 0 AND 180 AND dec BETWEEN -90 AND 90 GROUP BY phot_g_mean_mag HAVING COUNT(*) > 1000","Calculate the average parallax for each magnitude bin, considering only regions between 0 and 180 degrees in RA and -90 to 90 degrees in Dec, and including only magnitude bins with more than 1000 stars."
Complex,"SELECT ra, dec, parallax, pmra, pmdec FROM gaiadr3.gaia_source WHERE ra BETWEEN 150 AND 180 AND dec BETWEEN -60 AND -40 AND (pmra ** 2 + pmdec ** 2) > 100 ORDER BY (pmra ** 2 + pmdec ** 2) DESC LIMIT 5","List the top 5 stars in the region between 150 and 180 degrees in RA and between -60 and -40 degrees in Dec based on their total proper motion, where the total proper motion is greater than 10 units (in milliarcseconds/yr)."
Complex,"SELECT COUNT(DISTINCT phot_g_mean_mag) AS distinct_magnitudes, COUNT(*) AS total_stars FROM gaiadr3.gaia_source WHERE parallax > 0.02 AND (pmra ** 2 + pmdec ** 2) > 100",How many unique magnitude values and the total number of stars are there in the Gaia catalog where stars have a parallax greater than 0.02 milliarcseconds and a total proper motion greater than 100 (in milliarcseconds/yr)?
Simple,"SELECT ra, dec FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 15",What are the right ascension and declination of stars with a G-band magnitude less than 15?
Simple,"SELECT parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE parallax > 0.1",What is the parallax and G-band magnitude of stars with a parallax greater than 0.1 milliarcseconds?
Simple,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE pmra > 100,How many stars have a proper motion in right ascension greater than 100 milliarcseconds per year?
Simple,"SELECT pmdec, ra FROM gaiadr3.gaia_source WHERE ra BETWEEN 30 AND 40",What is the proper motion in declination and right ascension for stars with right ascension between 30 and 40 degrees?
Simple,"SELECT dec, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE dec > -20 AND dec < -10",What is the declination and G-band magnitude of stars with declination between -20 and -10 degrees?
Medium,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE parallax > 2.0 AND pmra BETWEEN -100.0 AND 100.0,How many sources have a parallax greater than 2 milliarcseconds and a proper motion in right ascension between -100.0 and 100.0 milliarcseconds per year?
Complex,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE parallax > 0.1 AND phot_g_mean_mag < 15.0,How many stars in the Gaia DR3 catalog have a parallax greater than 0.1 mas and a G magnitude less than 15.0?
Complex,"SELECT AVG(parallax), AVG(phot_g_mean_mag) FROM gaiadr3.gaia_source WHERE ra BETWEEN 0 AND 3 AND dec BETWEEN -1 AND 1",What is the average parallax and G magnitude for stars within the right ascension range of 0 to 3 hours and declination range of -1 to 1 degrees?
Complex,"SELECT ra, dec, pmra, pmdec FROM gaiadr3.gaia_source WHERE phot_g_mean_mag BETWEEN 10 AND 15 AND (pmra > 100 OR pmdec > 100)","Retrieve the right ascension, declination, proper motion in right ascension, and proper motion in declination for stars with G magnitude between 10 and 15 and a proper motion greater than 100 mas/yr in either RA or Dec."
